Prolific ID,pay
673b7ef45c9291ade287d5d7,1.2
571b79465d40840012c4055a,1.2
61030ea0fd598c32549577b8,1.2
5d41d708128a05000183c461,1.2
5dcfaad2dd9a740c2493fc28,1.2
5f4a9eb861da210d3496cb34,1.2
67e7d7ba69a2afc3b987fd3f,1.2
5ec4369ded266915fb4e4ae8,1.2
5ec135213d32b40417fd9ea3,1.2
56b78f11e77ebe000cbefe79,1.2
6471e0a407b30a4f171dbd35,1.2
6750f2355fd9ba678f76fa5c,1.2
5a8a2325b3ec5bf71f359619,1.2
56896433d3d6a7000ca23d94,1.2
6647eae0cdc9da0ab81dc415,1.2
65df3cf4bf05d8eff24ed78b,1.2
5eaf1a2c649fd108284c2b5f,1.2
5ee1cf1e0df8e55c6b9e1f1a,1.2
666af621e0cefa7dc393bbc5,1.2
6283e5cee0833a2307ddeb0f,1.2
60aff9a6354c706f21c27da1,1.2
6548f960db60a00d76e92695,1.2
669a4f388b2de8df723faf1e,1.2
5bb48501d3be310001c1afeb,1.2
66294db6d68dbd70fb31fb3c,1.2
65ee4106d4b632b7fb7a3f79,1.2
67d1d172e049a486152a5ce9,1.2
583fe092d639d0000142fb2e,1.2
5e40458fee95202846ccf7f3,1.2
66d7a63854decf633f48f674,1.2
6781c04bb4d02ad68a57e4ae,1.2
5e1f3d570e12222708fae5ce,1.2
652f102802f99197634d599a,1.2
653fb87b3cb99e8f2c730d3d,1.2
666044f3a8e70f7fefb42014,1.2
5abbe13268b65b00018cf94b,1.2
5f4a7a00dc1bde60ab8f7ac5,1.2
67b867317a15cc0a14b16294,1.2
66ee4d807a6161ba6a9b5211,1.2
63d2fe57eea8cacc91a44fdd,1.2
62b5d90d09660072824f68cf,1.2
669e0fa745b32ae95bde8754,1.2
681395aa7f23f1207cc3814c,1.2
671dde8079f492a4a7b49e7a,1.2
677bcb212ebc1d6360f23fe6,1.2
675c850be4490dfd129fffaf,1.2
674b46b00690584bddd6e33b,1.2
67ee3bce2fd293df8bc0c77a,1.2
6766ce58f2f6140bdb9fb2b3,1.2
671f12c5d2543b67c0f12e57,1.2
5c8249a1fff8430014e992fe,1.2
66d9d8108156d32cbe34ee6f,1.2
5fe49a4ad8918ba1615e298d,1.2
5c77d238e926fc00170b4975,1.2
68074d953a722d26b904fc7d,1.2
5ca612a8d24640001432512c,1.2
56ca3e3237d66c000c59a891,1.2
67e037f21c6a42a34775ee52,1.2
5d78d57c8f579d001518e74f,1.2
5be87e33a14b540001aa2ea5,1.2
67ef5e1ea8330a7744f39e17,1.2
5ef405ce2de83f1a2fa278e4,1.2
649ed52c6deb05c245aa42db,1.2
677bdabbdcaf99b4cd8c86a5,1.2
66463e3ccc2fcde4d3fabf53,1.2
660ec4452539f6860b02db7a,1.2
67d095bc257ecc840642912e,1.2
5ca937309ac82a0001312c88,1.2
641de00ed49b15381e60ae88,1.2
67dd9d7cb2b6bc83e7981f45,1.2
61f2abdca09e72f23cbaf4c4,1.2
66245f5bc8c29b85b0ecf5db,1.2
68b64ff34b1f56ddafd9d053,1.2
56bd7bf3d4e2180005a86846,1.2
673593b7b37c1ce17037b3f0,1.2
5bf54dd783653500016776ec,1.2
67ddabeab4ee0d6587d33f75,1.2
56f699e876348f000c883bba,1.2
676e8422294dd6823d5f77e3,1.2
66636514bc4749ad83a2adc8,1.2
6888f02966d2df364e808f42,1.2
672451c5f4e558e08242d746,1.2
66491e9882aaa64c5d0911d5,1.2
5f036a5ded8a402703d24a0c,1.2
67e8573dadc0a260c9c4242b,1.2
66cf40a29f72528d5f3c752e,1.2
633d785ff76adb41addde965,1.2
67f0158b01e9ac80ef1ff943,1.2
6605c064889aa790d3e0fe49,1.2
5c1b9212bfd9220001a9ada0,1.2
67e567d4265ecb014e6b298b,1.2
6655d895e8c33b7738009342,1.2
666d90f7298663574b4c3d48,1.2
616b0933631552c8aebc161d,1.2
5e4b1c2f5bc4e203ab0f3882,1.2
6735cca783ade1144f24bc78,1.2
5f47d8f1e974b12169221876,1.2
6172f9bf1c90302309a07d38,1.2
5f4538b6ffe9f50c3cbe3ae1,1.2
66685eeb54a9c79c92733852,1.2
6654564b8702377b93366849,1.2
66e0569e76fa6e4be6919693,1.2
5bd249d45c90120001d1043f,1.2
668d833768086eaaa243c0ed,1.2
60e48448342dd992aaee8118,1.2
67f067f743c72104040dc225,1.2
5a9bcd3f1eda410001366c55,1.2
67ed196a6eea8b90b3a7f5b2,1.2
5ec585f19fbe6c5921eae3db,1.2
6760acee7b448e51215b1910,1.2
676063838d4db0d3eaa69c2b,1.2
5ec62902bb44c16b842128f9,1.2
65720c5658873745398ffe08,1.2
665350d2cbec1d69819d36dd,1.2
67356f7cf6ff16fe3322a837,1.2
67edcb7f41fcf6ae64c28a27,1.2
5df5b73cd52c7b4021e0d0b6,1.2
5cf806142780ca001a9d5cee,1.2
68892626185fec0f0ef5a624,1.2
55a29659fdf99b5ff49937d3,1.2
66bfd63fb347261f46db75e3,1.2
60fc3a1e0eb578aa02590e27,1.2
5c33933cf3eeb60001d627c1,1.2
5aafe2a9fb22320001babb3a,1.2
61575f1257634f8182c29c16,1.2
659d6ca29e5500da27f1cb5b,1.2
